EntityType,EntityID,EntityTitle,TargetType,TargetID,TargetTitle,SetID,Date,Created,Academic Year,URN,Borough,School Type - Education Phase,Type of School,Are they part of an academy (single/multi) or trust,Which academy/trust are they part of,Are they part of a cluster?,Which cluster are they a part of?,Does this School have a Nursery attached?,Percentage of pupils eligible for Free School Meals,Percentage of pupils eligible for pupil premium,IMD Decile,Ofsted rating,How much primary premium do they receive?,Is this School signed up to the Daily Mile?,If not signed up do they do a variant of the Daily Mile,Have they signed up for The Daily Mile Destinations?,Who is responsible for the operation of sports facilities at the school?,"Indoor facilities: Does your school have any of the following?
",Outdoor facilities: Does your school have any of the following?,Other outdoor please specify,Are their facilities open?,What facilities are open?,What facilities are not open to the public,Facility management,If facilities management is out-sourced who is the provider?,When are facilities open?,Overall facilities quality,"How are the facilities currently used outside of normal school hours?
",Who is responsible for opening and closing the facility for community use?,Other - Responsibility for opening and closing facilities,Have they been selected (term)?,Has this school opted into the Active Lives CYP Survey? ,Have they completed the survey,Does this school get involved with the School Games at Level 2?,What level of School Games mark has this school achieved? ,Has this school ever attended our Level 3 School Games events (in the past - pre 2018),Has this school ever attended Level 3 School Games (Post Sept 2018)?,Which level 3 competitions have they attended?,Has this School volunteered at the School Games or accessed DfE funding? ,Are any of their pupils involved in the YLOC?,Does this School have a Satellite Club attached?,Is this school compliant for Primary School Sport Premium? ,Why is the school non-compliant,Was the website analysed as part of the Primary School Sport Premium Mapping?,How much PESSPA do they receive?,Is this School part of Mentally Healthy Schools?,Is this school involved in any other projects?,Is this school a YST member school? ,Engagement with CPD,Part of School Sports Partnership,RAG Rating,Any other important notes,What providers do they use for sport and physical activity?
Group,529,Co-op Academy Walkden,,0,,6607,17/12/2020 12:12,17/12/2020 12:28,2020/2021,146404,Salford,Secondary,Academy converter,Yes - Multi-academy trust,Co-op Academies,,,No,18.00%,28.50%,2,,,No,,,,,,,Yes,Artificial grass pitch|Grass pitches|Health and fitness suite|Sports hall|Studio,,,,,,,,,Term 2,,,,,,,,,,Yes,,,,,,PSHE Hub|SE Secondary Teacher Training Programme,,,,,"YEAR 1 TERM 2
 - Not completed

",
Group,4,Co-operative Academy of Manchester,,0,,6608,17/12/2020 12:12,17/12/2020 12:28,2020/2021,136174,Manchester,Secondary,Academy sponsor led,Yes - Multi-academy trust,Co-op Academies,,,Not applicable,30.60%,54.10%,1,Good,,Yes,,,,,,,Some,Sports hall|Studio|Artificial grass pitch|Grass pitches,Grass pitches|Health and fitness suite,,,,,,,,,,,,,,,,,,Yes,,,,,,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"
",
Group,543,Copley Academy,,0,,6609,17/12/2020 12:12,17/12/2020 12:28,2020/2021,139294,Tameside,Secondary,Academy converter,Yes - Multi-academy trust,Great Academies Education Trust,,,No,24.60%,41.10%,2,Special Measures,,No,,,Other (please specify),Main sports hall (markings for at least 3 badminton courts)|Studio (often with mirrored wall and sprung floor)|Gym/health and fitness suite|Main swimming pool (at least 15m in length)|Learner swimming pool (less than 15m in length)|Changing rooms accessible externally|Changing rooms accessible only via the school,Artificial pitch (3G) with floodlights|Playing field|Changing rooms accessible only via the school,,Yes,,,Managed by the Local Authority,Active Tameside,Evenings|Weekend|School Holidays,,After school clubs|Sports clubs|Regular bookings (block bookings),Trusted User,,Reserve,,,,,,,,,,Yes,,,,,Yes,Manchester United Foundation|PSHE Hub,,,,,"YEAR 1 TERM 2
 - Not completed

",
Group,804,Coppice Primary Academy,,0,,6610,17/12/2020 12:12,17/12/2020 12:28,2020/2021,139704,Oldham,Primary,Academy sponsor led,Yes - Multi-academy trust,Focus Trust,Yes,West Oldham (Hathershaw),Yes,20.80%,25.90%,2,Good,,Yes,,,Headteacher,Activity hall (multi-purpose room e.g. assembly hall),Outdoor hard surface area e.g playground (no sport specific markings),,No,,,Managed in-house,,,Satisfactory - the facilities are generally sufficient to meet the needs of the schools and are fit-for-purpose. Some improvements or additions would be beneficial.,,Caretaker,,,,,,,,,,,,,,,,,,Bikeability Balance,,,,,"year 1 term 2 - not completed
",
Group,805,Corpus Christi RC Primary School,,0,,6611,17/12/2020 12:12,17/12/2020 12:28,2020/2021,105718,Oldham,Primary,Voluntary aided school,,,,South Oldham (Oasis/Failsworth),Yes,19.30%,25.60%,1,Outstanding,,No,,,Head of PE,Activity hall (multi-purpose room e.g. assembly hall),Playing field,,Some,,,Managed in-house,,,Satisfactory - the facilities are generally sufficient to meet the needs of the schools and are fit-for-purpose. Some improvements or additions would be beneficial.,After school clubs|Breakfast clubs|Sports clubs|Youth club|Private coaching|Other,Caretaker,,,,,,,,,,,,,,,,,Yes,Bikeability,,,,,"Facilities used for parish events
",Council - Sport Development Service
Group,998,Corrie Primary and Nursery School,,0,,6612,17/12/2020 12:12,17/12/2020 12:28,2020/2021,106214,Tameside,Primary,Community school,,,,,Yes,31.40%,41.60%,1,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"year 1 term 3 - not completed

",Other
Group,420,Covenant Christian School,,0,,6613,17/12/2020 12:12,17/12/2020 12:28,2020/2021,106158,Stockport,Primary|Secondary,Other independent school,,,,,No,,,4,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,709,Crab Lane Primary School,,0,,6614,17/12/2020 12:12,17/12/2020 12:28,2020/2021,105465,Manchester,Primary,Community school,,,,,Yes,45.60%,48.10%,1,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TfGM|Change4Life|Healthy Schools|Change4Life,,,,,"
",
Group,90,Cravenwood Primary Academy,,0,,6615,17/12/2020 12:12,17/12/2020 12:28,2020/2021,140661,Manchester,Primary,Academy sponsor led,Yes - Multi-academy trust,United Learning,,,Yes,23.20%,26.50%,1,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",Private Coaching Company
Group,1181,Cringle Brook Primary School,,0,,6616,17/12/2020 12:12,17/12/2020 12:28,2020/2021,140692,Manchester,Primary,Free School,Yes - Multi-academy trust,Kingsway Community Trust,,,No,20.30%,25.10%,3,Outstanding,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",Private Coaching Company
Group,499,Crompton House Church of England School,,0,,6617,17/12/2020 12:12,17/12/2020 12:28,2020/2021,137294,Oldham,Secondary,Academy converter,Yes - Single-academy trust,Crompton House Church of England Multi Academy Trust,,,Not applicable,6.80%,9.70%,7,Good,,No,,,,,,,Some,Artificial grass pitch|Sports hall|Tennis courts,Grass pitches|Studio,,,,,,,,Term 3,,,,,,,,,,Yes,,,,,Yes,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"YEAR 1 TERM 2
 - Not completed
Mental Health Pilot phase 2

",
Group,806,Crompton Primary School,,0,,6618,17/12/2020 12:12,17/12/2020 12:28,2020/2021,133286,Oldham,Primary,Community school,,,,Royton,Yes,18.50%,23.40%,7,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability Balance,,,,,"
",
Group,1262,Cromwell High School,,0,,6619,17/12/2020 12:12,17/12/2020 12:28,2020/2021,106279,Tameside,Secondary|SEND,Community special school,,,,,Not applicable,34.70%,38.00%,3,Outstanding,,No,,,,Activity hall (multi-purpose room e.g. assembly hall),Playing field|Changing rooms accessible only via the school,,No,,Sports hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,710,Crossacres Primary Academy,,0,,6620,17/12/2020 12:12,17/12/2020 12:28,2020/2021,140709,Manchester,Primary,Academy converter,Yes - Single-academy trust,Crossacres Primary Academy,,,Yes,32.50%,43.10%,1,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
","Professional Sports Clubs, Trusts & Foundations|Private Coaching Company"
Group,165,Crossgates Primary School,,0,,6621,17/12/2020 12:12,17/12/2020 12:28,2020/2021,105846,Rochdale,Primary,Foundation school,,,,,No,10.80%,10.80%,7,Good,,Yes,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,,"
partly engaged",
Group,711,Crosslee Community Primary School,,0,,6622,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105412,Manchester,Primary,Community school,,,,,Yes,35.10%,58.10%,3,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
","Professional Sports Clubs, Trusts & Foundations|Private Coaching Company"
Group,712,Crowcroft Park Primary School,,0,,6623,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105413,Manchester,Primary,Community school,,,,,Yes,18.10%,25.10%,1,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",
Group,91,Crumpsall Lane Primary School,,0,,6624,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105486,Manchester,Primary,Community school,,,,,Yes,19.10%,25.20%,1,Requires Improvement,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change4Life|Healthy Schools|Change4Life,,,,,"
",
Group,999,Dane Bank Primary School,,0,,6625,17/12/2020 12:12,17/12/2020 12:29,2020/2021,147371,Stockport,Primary,Community school,Yes - Multi-academy trust,Changing Lives in Collaboration,,,Yes,12.90%,,4,,,No,,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Opened/closed 2019/20
",
Group,402,Darul Hadis Latifah Northwest,,0,,6626,17/12/2020 12:12,17/12/2020 12:29,2020/2021,138568,Oldham,Secondary,Other independent school,,,,,No,,,1,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,376,Darul Uloom Al Arabiya Al Islamiya,,0,,6627,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105372,Bury,Secondary,Other independent school,,,,,No,,,10,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Don't engage",
Group,302,Davyhulme Primary School,,0,,6628,17/12/2020 12:12,17/12/2020 12:29,2020/2021,106316,Trafford,Primary,Community school,,,,Lostock,Yes,6.60%,7.60%,9,Outstanding,,Yes,,,,,,,No,,Grass pitches,,,,,,,,Term 2,,,,,,,,,,,,,,,,,,,,,,Other
Group,385,Dean Trust Ardwick,,0,,6629,17/12/2020 12:12,17/12/2020 12:29,2020/2021,141884,Manchester,Secondary,Academy sponsor led,Yes - Multi-academy trust,Deans Trust,,,No,29.70%,48.20%,1,Good,,No,,,,,,,No,,Artificial grass pitch|Grass pitches|Sports hall,,,,,,,,Reserve,,,,,,,,,Yes,Yes,,,,,Yes,Manchester United Foundation|SE Secondary Teacher Training Programme|PSHE Hub,,,,,"Mental Health Pilot phase 2
",
Group,569,Dean Trust Rose Bridge ,,0,,6630,17/12/2020 12:12,17/12/2020 12:29,2020/2021,146797,Wigan,Secondary,Academy sponsor led,Yes - Multi-academy trust,Deans Trust,,,No,33.90%,52.20%,2,,,No,,,,,,,Yes,Artificial grass pitch|Grass pitches|Sports hall,,Out-sourced,SLS,,,,,,,,,,,,,,,,Yes,,,,,,Manchester United Foundation|SE Secondary Teacher Training Programme|PSHE Hub,,,,,"
",
Group,564,Dean Trust Wigan (Abraham Guest Academy 17),,0,,6631,17/12/2020 12:12,17/12/2020 12:29,2020/2021,144519,Wigan,Secondary,Academy sponsor led,Yes - Multi-academy trust,Deans Trust,,,No,37.40%,52.80%,2,Serious Weaknesses,,No,,,,,,,Some,Artificial grass pitch|Grass pitches|Sports hall|Studio,Health and fitness suite,Out-sourced,SLS,,,,,,Reserve,,,,,,,,,,Yes,,,,,,Manchester United Foundation|SE Secondary Teacher Training Programme|PSHE Hub,,,,,"
",
Group,556,Deans Trust Ashton,,0,,6632,17/12/2020 12:12,17/12/2020 12:29,2020/2021,138123,Trafford,Secondary,Academy converter,Yes - Multi-academy trust,Deans Trust,,,No,11.10%,16.40%,10,Good,,No,,,,,,,,,,,,,,,,,Term 1,,,,,,,,,,Yes,,,,,,Congestion Project|SE Secondary Teacher Training Programme,,,,,"year 1 term 3
 -  - Not completed
Was Ashton-on-Mersey School
",
Group,854,Deeplish Primary Academy,,0,,6633,17/12/2020 12:12,17/12/2020 12:29,2020/2021,141365,Rochdale,Primary,Academy sponsor led,Yes - Multi-academy trust,Focus Trust,,,Yes,23.70%,28.50%,1,Good,,No,,,,,,,No,,Grass pitches|Sports hall,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"
Engaged in the past",
Group,1090,Delamere School,,0,,6634,17/12/2020 12:12,17/12/2020 12:29,2020/2021,106394,Trafford,SEND,Community special school,,,,,Yes,32.40%,34.10%,6,Outstanding,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,122,Delph Primary School,,0,,6635,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105669,Oldham,Primary,Foundation school,Yes - Trust,Dovestone Learning Partnership,,Dovestones Learning Partnership,No,9.90%,9.50%,7,Good,,Yes,,,Headteacher,Activity hall (multi-purpose room e.g. assembly hall),Playing field,,Some,,,Managed in-house,,,Satisfactory - the facilities are generally sufficient to meet the needs of the schools and are fit-for-purpose. Some improvements or additions would be beneficial.,After school clubs|Sports clubs,Trusted User,,,,,,,,,,,,,,,,,,Bikeability Balance,,,,,"Foundation School
",Council - Sport Development Service|SSP Offer
Group,544,Denton Community College,,0,,6636,17/12/2020 12:12,17/12/2020 12:29,2020/2021,135122,Tameside,Secondary,Community school,,,,,No,28.60%,38.40%,4,Good,,No,,,Other (please specify),Activity hall (multi-purpose room e.g. assembly hall)|Changing rooms accessible only via the school|Gym/health and fitness suite|Main sports hall (markings for at least 3 badminton courts)|Studio (often with mirrored wall and sprung floor),Changing rooms accessible only via the school|Multi-Use Games Area (MUGA) with floodlights|Playing field|Sports pitch with markings,,Yes,Sports hall|Studio,Grass pitches,Out-sourced (please specify provider),Robertsons,Evenings|School Holidays|Weekend,,After school clubs|Sports clubs|Regular bookings (block bookings)|community groups,Caretaker,,Term 3,,,,,,,,,,Yes,,,,,,Congestion Project,,,,,,
Group,1000,Denton West End Primary School,,0,,6637,17/12/2020 12:12,17/12/2020 12:29,2020/2021,138207,Tameside,Primary,Academy converter,Yes - Single-academy trust,Denton West End Primary School,,,Yes,8.40%,8.80%,6,Good,,Yes,,Yes,,,,,No,,Sports hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",In house coach
Group,17,Devonshire Road Primary School,,0,,6638,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105154,Bolton,Primary,Community school,,,,,No,22.70%,30.20%,4,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",Private Coaching Company
Group,953,Dial Park Primary,,0,,6639,17/12/2020 12:12,17/12/2020 12:29,2020/2021,106043,Stockport,Primary,Community school,,,,,Yes,36.00%,46.80%,3,Good,,No,,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
n",
Group,713,Didsbury CE Primary School,,0,,6640,17/12/2020 12:12,17/12/2020 12:29,2020/2021,142265,Manchester,Primary,Academy converter,Yes - Multi-academy trust,St James and Emmanuel Academy Trust,,,Yes,3.40%,8.90%,6,,,No,,,,,,,,,,,,,,,,,Term 3,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",Private Coaching Company
Group,1292,Didsbury High School,,0,,6641,17/12/2020 12:12,17/12/2020 12:29,2020/2021,143729,Manchester,Secondary,Free School,Yes - Multi-academy trust,Laurus Trust,,,No,23.30%,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Congestion Project,,,,,"Opened: 02/09/19
",
Group,236,Didsbury Road Primary,,0,,6642,17/12/2020 12:12,17/12/2020 12:29,2020/2021,106098,Stockport,Primary,Community school,,,,,Yes,5.70%,5.70%,9,Outstanding,,Yes,,Yes,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,Leadership|Intervention programmes|PE Specialist Support|Assessment Support|Be Inspired Programme,,,,,"
n",
Group,123,Diggle School,,0,,6643,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105665,Oldham,Primary,Foundation school,Yes - Trust,Dovestone Learning Partnership,,Dovestones Learning Partnership,No,7.30%,7.50%,9,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"year 1 term 2 - started but not completed
",
Group,1190,Discovery Academy,,0,,6644,17/12/2020 12:12,17/12/2020 12:29,2020/2021,140428,Tameside,Primary,Academy sponsor led,Yes - Multi-academy trust,Victorious Academies Trust,,,Yes,24.40%,23.90%,1,Good,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"
Y1-4",
Group,714,Divine Mercy RC Primary School,,0,,6645,17/12/2020 12:12,17/12/2020 12:29,2020/2021,135648,Manchester,Primary,Voluntary aided school,,,,,Yes,37.20%,43.00%,3,Good,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change4Life|Healthy Schools|Change4Life,,,,,"
",
Group,1286,Douglas Valley Nursery School,,0,,6646,17/12/2020 12:12,17/12/2020 12:29,2020/2021,106398,Wigan,Nursery,Local authority nursery school,,,,,Yes,,,0,Outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1001,Dowson Primary School,,0,,6647,17/12/2020 12:12,17/12/2020 12:29,2020/2021,143377,Tameside,Primary,Academy converter,Yes - Multi-academy trust,The Enquire Learning Trust,,Hyde,Yes,14.20%,18.20%,7,Good,,No,,,Business Manager,Activity hall (multi-purpose room e.g. assembly hall),Outdoor hard surface area e.g playground (no sport specific markings)|Playing field,,Some,,Grass pitches,Managed in-house,,,"Poor- the facilities are old, inadequate and/or require significant improvement.",After school clubs|Breakfast clubs|Sports clubs|Group exercise classes,Other,security firm,Term 2,,,,,,,,,,,,,,,,,,,,,,Council - Sport Development Service
Group,545,Droylsden Academy,,0,,6648,17/12/2020 12:12,17/12/2020 12:29,2020/2021,135864,Tameside,Secondary,Academy sponsor led,Yes - Single-academy trust,Droylsden Academy,,,Not applicable,23.80%,44.40%,3,Good,,No,,,Business manager/Bursar,Main sports hall (markings for at least 3 badminton courts)|Studio (often with mirrored wall and sprung floor)|Gym/health and fitness suite|Changing rooms accessible only via the school,Artificial pitch (3G) with floodlights|Multi-Use Games Area (MUGA) with floodlights|Sports pitch with markings|Playing field|Changing rooms accessible only via the school,,Yes,Sports hall|Studio|Grass pitches|Artificial grass pitch,,Managed in-house,,Evenings|Weekend|School Holidays,,After school clubs|Sports clubs|Regular bookings (block bookings)|community groups,Caretaker,,Term 1,,,,,,,,,,Yes,,,,,,PSHE Hub,,,,,"YEAR 1 TERM 3
 - Not completed
Reserve Sample Year 3
",
Group,901,Dukesgate Academy,,0,,6649,17/12/2020 12:12,17/12/2020 12:29,2020/2021,138416,Salford,Primary,Academy sponsor led,Yes - Multi-academy trust,United Learning,,Little Hulton and Walkden,Yes,53.20%,60.30%,1,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
","Professional Sports Clubs, Trusts & Foundations"
Group,92,E-ACT Blackley Academy,,0,,6650,17/12/2020 12:12,17/12/2020 12:29,2020/2021,137689,Manchester,Primary,Academy sponsor led,Yes - Multi-academy trust,E-ACT,,,Yes,44.30%,65.60%,1,Good,,Yes,,,,,,,,,,,,,,,,,Term 1,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",
Group,505,E-ACT Royton and Crompton School,,0,,6651,17/12/2020 12:12,17/12/2020 12:29,2020/2021,146316,Oldham,Secondary,Academy sponsor led,Yes - Multi-academy trust,E-ACT,,,No,29.60%,43.60%,6,,,No,,,,,,,Yes,Artificial grass pitch|Grass pitches|Sports hall,,,,,,,,,Reserve,,,,,,,,,,Yes,,,,,,Manchester United Foundation|SE Secondary Teacher Training Programme,,,,,"YEAR 1 TERM 1
 - Not completed

",
Group,591,Eagley Infant School,,0,,6652,17/12/2020 12:12,17/12/2020 12:29,2020/2021,138011,Bolton,Infants,Academy converter,Yes - Single-academy trust,Eagley Infant School,,,Yes,5.00%,4.60%,10,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,18,Eagley Junior School,,0,,6653,17/12/2020 12:12,17/12/2020 12:29,2020/2021,138152,Bolton,Primary,Academy converter,Yes - Single-academy trust,Eagley Junior School,,,No,5.80%,12.20%,9,Good,,Yes,,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1189,East Crompton St George's CofE School,,0,,6654,17/12/2020 12:12,17/12/2020 12:29,2020/2021,142271,Oldham,Primary,Academy converter,Yes - Multi-academy trust,Cranmer Education Trust,,East Oldham,No,21.20%,27.90%,8,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability,,,,,"
","Council - Sport Development Service|Professional Sports Clubs, Trusts & Foundations"
Group,807,East Crompton St James CofE Primary School,,0,,6655,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105710,Oldham,Primary,Voluntary aided school,,,,Crompton House,No,27.00%,28.00%,4,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability,,,,,"
",
Group,653,East Ward Community Primary School,,0,,6656,17/12/2020 12:12,17/12/2020 12:29,2020/2021,144572,Bury,Primary,Academy converter,Yes - Multi-academy trust,Vision Multi-Academy Trust,,,Yes,41.50%,48.50%,1,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability|Fuel & MOve,,,,,"year 1 term 2 - not completed

",Private Coaching Company|Other
Group,592,Eatock Primary School,,0,,6657,17/12/2020 12:12,17/12/2020 12:29,2020/2021,105202,Bolton,Primary,Community school,,,,,Yes,14.30%,24.30%,7,Outstanding,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability,,,,,"
",SSP Offer
Group,386,Eden Boys' Leadership Academy,,0,,6658,17/12/2020 12:12,17/12/2020 12:29,2020/2021,144744,Manchester,Secondary,Free School,Yes - Multi-academy trust,Star Academies,,,No,29.70%,33.80%,1,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,454,Eden Boys' School,,0,,6659,17/12/2020 12:12,17/12/2020 12:29,2020/2021,140959,Bolton,Secondary,Free School,Yes - Multi-academy trust,Star Academies,,,No,18.10%,26.60%,1,Outstanding,,No,,,,,,,No,,Sports hall|Artificial grass pitch,,,,,,,,Reserve,,,,,,,,,,Yes,,,,,,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"
",
Group,387,Eden Girl's Leadership Academy,,0,,6660,17/12/2020 12:12,17/12/2020 12:29,2020/2021,144745,Manchester,Secondary,Free School,Yes - Multi-academy trust,Star Academies,,,No,27.20%,32.00%,1,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,419,Edstart,,0,,6661,17/12/2020 12:12,17/12/2020 12:29,2020/2021,137275,Salford,PRU/Other,Other independent school,,,,,No,,,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1091,Egerton High School,,0,,6662,17/12/2020 12:12,17/12/2020 12:30,2020/2021,131885,Trafford,Secondary|SEND,Community special school,,,,,Not applicable,52.70%,59.30%,5,Good,,No,,,,,,,No,,Sports hall|Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,593,Egerton Primary School,,0,,6663,17/12/2020 12:12,17/12/2020 12:30,2020/2021,105192,Bolton,Primary,Community school,,,,,No,1.40%,4.10%,9,Outstanding,,No,,,,,,,Yes,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability,,,,,"Special School 
",SSP Offer
Group,409,Elizabeth House School,,0,,6664,17/12/2020 12:12,17/12/2020 12:30,2020/2021,145170,Rochdale,Primary|Secondary,Other independent school,,,,,No,,,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Independent school for 6 pupils",
Group,808,Elland House School,,0,,6665,17/12/2020 12:12,17/12/2020 12:30,2020/2021,131751,Oldham,SEND,Other independent special school,,,,,,,,2,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,194,Ellenbrook Community Primary School,,0,,6666,17/12/2020 12:12,17/12/2020 12:30,2020/2021,130396,Salford,Primary,Community school,,,,Worsley and Boothstown,Yes,6.40%,6.30%,10,Outstanding,,Yes,,,,,,,,,,,,,,,,,Term 1,,,,,,,,,,,,,,,,,,,,,"
","Professional Sports Clubs, Trusts & Foundations"
Group,433,Ellesmere Park High School,,0,,6667,17/12/2020 12:12,17/12/2020 12:30,2020/2021,144200,Salford,Secondary,Academy converter,Yes - Multi-academy trust,Consilium Academies,,,No,21.30%,32.80%,2,Good,,No,,,,,,,Some,Sports hall,Grass pitches|Studio,,,,,,,,Reserve,,,,,,,,,,Yes,,,,,,SE Secondary Teacher Training Programme,,,,,"YEAR 1 TERM 2
 - Not completed

",
Group,166,Elm Wood Primary School,,0,,6668,17/12/2020 12:12,17/12/2020 12:30,2020/2021,105791,Rochdale,Primary,Community school,,,,,Yes,17.50%,26.40%,2,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,303,Elmridge Primary School,,0,,6669,17/12/2020 12:12,17/12/2020 12:30,2020/2021,138654,Trafford,Primary,Academy converter,Yes - Multi-academy trust,The Dunham Trust,,,Yes,5.50%,8.10%,10,,,Yes,,,,,,,No,,Sports hall|Grass pitches,,,,,,,,,,,,,,,,,,,,,,,Yes,FA Girls Football Sports Partnership,,,,,"Mental Health pilot phase 3
",
Group,3,Elms Bank ,,0,,6670,17/12/2020 12:12,17/12/2020 12:30,2020/2021,146891,Bury,SEND,Academy special converter,Yes - Multi-academy trust,Oak Learning Partnership,,,Not applicable,35.90%,,1,,,Yes,,,,,,,No,,Sports hall,,,,,,,,,,,,,,,,,,Yes,,,,,,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"Opened 2019/20


",
Group,654,Elton Community Primary School,,0,,6671,17/12/2020 12:12,17/12/2020 12:30,2020/2021,141167,Bury,Primary,Academy sponsor led,Yes - Multi-academy trust,Bury College Education Trust,,,Yes,32.10%,38.90%,6,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability,,,,,"
",
Group,655,Emmanuel Holcombe Church of England Primary School,,0,,6672,17/12/2020 12:12,17/12/2020 12:30,2020/2021,105338,Bury,Primary,Voluntary aided school,,,,,Yes,2.80%,7.90%,5,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1261,Endeavour Primary Academy,,0,,6673,17/12/2020 12:12,17/12/2020 12:30,2020/2021,143495,Tameside,Primary,Academy converter,Yes - Multi-academy trust,The Enquire Learning Trust,,,Yes,23.70%,21.10%,1,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"
",Other
Group,304,English Martyrs' RC Primary School,,0,,6674,17/12/2020 12:12,17/12/2020 12:30,2020/2021,106352,Trafford,Primary,Voluntary aided school,,,,,Yes,3.60%,3.60%,5,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
