name,hubClub_names,deliveryOrganisation_name,firstFundingYear_name,clubType_names,inclusiveFocussedClubType_names,postcode,sport_name,age_names,ladcua_name,currentStatus_name,latitude,longitude
Marple Hall Tennis Satellite Club,Brabyns Lawn Tennis Club,,2015-16,No specific focus,,SK6 6LB,Tennis,13;14;15;16,Stockport,Sustained - Not funded,53.39750829,-2.087086054
Burnage Rugby Satellite Club (St Anne's RC High School),Burnage Rugby Football Club,,2015-16,No specific focus,,SK4 3EA,Rugby Union,11;12;13,Stockport,Sustained - Not funded,53.40758227,-2.201488707
Manchester Rugby Satellite Club (St James's RC High School),Manchester Rugby Club,,2015-16,No specific focus,,SK8 7NB,Rugby Union,14;15;16;17;18,Stockport,Sustained - Not funded,53.35804146,-2.189804471
Stockport College Inclusive Multisport Club,Carrington Riding Centre;Greave Tennis Club;National Trust - Orienteering;Stockport Golf Club;Stockport Metro Swimming Club;Stockport PDC Darts Academy;Woodley Sports Bowling Club,,2015-16,Inclusive (disability) focussed,,SK1 3UQ,Multisport,16;17;18,Stockport,Sustained - Not funded,53.40401656,-2.157515968
All Hallows High School,Deans Youth & Ladies,,2015-16,Female focussed,,M5 5JH,Football,11;12;13;14;15;16,Salford,Sustained - Not funded,53.48921306,-2.308428081
Kersal FC (Salford Academy),kersal FC,,2015-16,Male focussed,,M7 3NQ,Football,12;13;14,Salford,Sustained - Not funded,53.50806844,-2.284919605
The Albion High School,Bridgewater Amateur Boxing Club,,2015-16,No specific focus,,M6 6QT,Boxing,14;15;16;17;18;19,Salford,Sustained - Not funded,53.49494412,-2.277128156
Broughton Pool,Salford swimming and Water Polo Club,,2015-16,No specific focus,,M7 9DN,Swimming,11;12;13;14;15,Salford,Sustained - Not funded,53.50112509,-2.258773956
Ellesmere Park High School,Monton Sports Club,,2015-16,No specific focus,,M30 9BP,Cricket,11;12;13;14;15,Salford,Sustained - Not funded,53.49231586,-2.331408844
Oakwood High School,Salford Gymnastics Club,,2015-16,Inclusive (disability) focussed,,M30 9DY,Gymnastics,11;12;13;14;15,Salford,Sustained - Not funded,53.49311595,-2.334625982
Winstanley College,Tyldesley Netball Club,,2015-16,No specific focus,,WN5 7XF,Netball,16;17;18,Wigan,Sustained - Not funded,53.52384246,-2.700167576
Shakerley Community Centre,Community Dance Programme,,2015-16,Female focussed,,M46 9GJ,Dance,11;12;13;14;15;16,Wigan,Sustained - Funded,53.53108891,-2.494920254
Leigh Boxing Club (Westleigh HS),Leigh Boxing Club,,2015-16,No specific focus,,WN7 5AL,Boxing,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.49809072,-2.532031191
Golborne HS,Community Dance Programme,,2015-16,Female focussed,,WA3 3EL,Dance,11;12;13;14;15;16,Wigan,Sustained - Funded,53.48043243,-2.586409905
Oakfield High School,SDU Disability Programme,,2015-16,Inclusive (disability) focussed;Multisport,,WN2 4XA,Multisport,16;17;18,Wigan,Sustained - Not funded,53.53189154,-2.553789959
Scotman's Flash (Landgate School),Outdoor Adventure programme,,2015-16,Inclusive (disability) focussed,,WN3 5TE,Canoeing,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.5321375,-2.647961578
Robin Park Arena (Hope School),SDU Disability Programme,,2015-16,Inclusive (disability) focussed,,WN5 0UH,Gymnastics,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.54487485,-2.651431331
Gig Lane Football Ground  (Bury Clarion Cycling Club - Cycling),Bury Clarion CC,,2015-16,No specific focus,,BL8 9HR,Cycling,11;12;13;14;15;16,Bury,Temporarily inactive,53.59239295,-2.308770989
Bury Sports Club (Bury RUFC - Rugby),Bury RUFC,,2015-16,Female focussed,,BL9 0TS,Rugby Union,11;12;13;14;15;16,Bury,Temporarily inactive,53.5857154,-2.301108102
Canon Slade School,Bolton Gym Club,,2015-16,Female focussed,,BL2 3DB,Dance,11;12;13;14;15;16;17,Bolton,Sustained - Not funded,53.60298376,-2.404805447
Radclyffe School Table Tennis,Oldham Table Tennis Club,,2014-15,No specific focus,,OL9 0LS,Table Tennis,14;15;16,Oldham,Sustained - Not funded,53.54508685,-2.152183122
Bury College,Bolton Table Tennis Club,,2014-15,No specific focus,,BL1 4AG,Table Tennis,16;17;18;19;20;21;22;23;24,Bolton,Temporarily inactive,53.57721982,-2.438076395
British Muslim Heritage Centre,British Muslim Heritage Centre,,2015-16,No specific focus,,M16 8BP,Archery,14;15;16;17;18;19;20;21;22;23;24,Manchester,Sustained - Not funded,53.44865315,-2.262927419
Khizra Masjid Community for all (Khizra Mosque),HUB CLUB IN DEVELOPMENT,,2015-16,No specific focus,,M8 0PF,Multisport,14;15;16;17;18;19;20;21;22;23;24,Manchester,Sustained - Not funded,53.50590722,-2.23723989
St John Rigby College,Hawks Badminton Club,,2013-14,No specific focus,,WN5 0LJ,Badminton,16;17;18,Wigan,Sustained - Not funded,53.55396601,-2.697192587
chilli dip golf,Douglas Valley Golf Club,,2015-16,No specific focus,,,Golf,14;15;16,,Sustained - Not funded,,
Manor High School,Trafford Leisure Badminton,,2015-16,Inclusive (disability) focussed,,M33 5JX,Badminton,12;13;14;15;16,Trafford,Sustained - Not funded,53.42571443,-2.352593894
Broughton Pool,Salford swimming and Water Polo Club,,2015-16,No specific focus,,M7 2DN,Swimming,12;13;14;15;16,Salford,Sustained - Not funded,53.50082585,-2.259963245
Irlam and Cadishead College,Cadishead Rhinos,,2015-16,No specific focus,,M44 5ZR,Rugby League,13;14;15;16,Salford,Temporarily inactive,53.4353054,-2.429750841
Salford metropolitan athletics club (St Patricks RC High/Walkden High School),Salford metropolitan Athletics Club,,2015-16,No specific focus,,M30 8HY,Athletics,12;13;14;15;16;17;18;19,Salford,Sustained - Funded,53.48971013,-2.370775457
Oakwood High School,Oakwood sports club,,2015-16,Inclusive (disability) focussed,,M30 9DY,Gymnastics,12;13;14;15;16,Salford,Sustained - Not funded,53.49311595,-2.334625982
"BDSA Archery (Birtenshaw, Rumworth, firwood)",BDSA,,2015-16,Inclusive (disability) focussed,,BL2 6JW,Archery,14;15;16;17;18;19;20,Bolton,Sustained - Not funded,53.57876509,-2.383351336
Chilli Dip Rivington Golf Club (Rivington and Blackrod School),Chilli Dip Golf,,2015-16,No specific focus,,BL6 5HX,Golf,14;15;16,Bolton,Sustained - Not funded,53.60146828,-2.584427568
Hathershaw College,Werneth Golf Club,,2015-16,No specific focus,,OL8 3EP,Cricket,14;15;16,Oldham,Sustained - Not funded,53.52233553,-2.110436915
Manchester Health Academy,Manchester Allstars,,2015-16,Female focussed,,M23 9BP,Dance,11;12;13;14;15;16,Manchester,Sustained - Not funded,53.40185957,-2.294874622
St Johns RC School,Manchester Gems,,2015-16,Female focussed,,M21 9SN,Dance,11;12;13;14;15;16,Manchester,Sustained - Not funded,53.44632777,-2.281374236
Denton Pool (audenshaw School),Stalybridge Swimming Club,,2015-16,Male focussed,,M34 5NB,Swimming,13;14;15;16;17,Tameside,Sustained - Not funded,53.46632486,-2.116995453
Newbridge Community School,Hindley Juniors Football Club,,2013-14,Female focussed,,WN2 3TL,Football,14;15;16,Wigan,Sustained - Not funded,53.52440599,-2.598014708
Debdale Outdoor Centre,Debdale Juniors,,2016-17,No specific focus,,M18 7LJ,Canoeing,12;13;14;15;16;17,Manchester,Sustained - Not funded,53.45961483,-2.159212873
Manchester Health Academy,Wythenshawe RFU,,2016-17,Male focussed,,M23 9BP,Rugby Union,12;13;14;15;16,Manchester,Sustained - Funded,53.40185957,-2.294874622
Newall Green High School,Wythenshawe RFU,,2016-17,Female focussed,,M23 2SX,Rugby Union,12;13;14;15;16,Manchester,Sustained - Funded,53.38278295,-2.2877362
St Pauls High School,Wythenshawe RFU,,2016-17,Female focussed,,M23 2YS,Rugby Union,12;13;14;15;16,Manchester,Sustained - Funded,53.38458642,-2.277809387
Manchester Enterprise Academy,Wythenshawe RFU,,2016-17,Female focussed,,M22 9RH,Rugby Union,12;13;14;15;16,Manchester,Sustained - Funded,53.38050353,-2.27067134
Manchester Health Academy,Timperley Sports Club,,2015-16,Female focussed,,WA15 7LU,Multisport,11;12;13;14;15;16,Trafford,Sustained - Not funded,53.39049522,-2.32979034
Longford Park,TUF*C Community Cycling,,2016-17,No specific focus,,M32 8PU,Cycling,14;15;16;17;18;19;20;21;22;23;24;25,Trafford,Temporarily inactive,53.44473843,-2.295517784
St Ambrose Rc High School,Jamie Moore Boxing Foundation,,2017-18,No specific focus,,M27 9QP,Boxing,11;12;13;14;15;16;17,Salford,Sustained - Not funded,53.51941953,-2.356297731
Moorside High School,Firestorm Cheerleading club,,2016-17,Female focussed,,M27 0AP,Dance,11;12;13;14;15,Salford,Sustained - Not funded,53.50780043,-2.345644373
Irlam & Cadishead High School,Salford Volleyball Club,,2016-17,Female focussed,,M44 5ZR,Volleyball,11;12;13;14;15;16,Salford,Sustained - Not funded,53.4353054,-2.429750841
Adswood Youth Centre Multisport Satellite Club,Adswood United Football Club,,2016-17,No specific focus,,SK3 8PH,Multisport,14;15;16,Stockport,Sustained - Not funded,53.39024194,-2.166006823
Alexandra Park Football and Fitness Satellite Club,Elaborate Dance Club,,2016-17,Multisport;No specific focus,,SK1 1NZ,Multisport,14;15;16,Stockport,Sustained - Not funded,53.40938327,-2.157580928
Marple Memorial Park Football Satellite Club,Stockport Town FC,,2016-17,Male focussed,,SK6 6AX,Football,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.39515911,-2.063092549
Werneth Young People's Centre,HUB CLUB IN DEVELOPMENT,,2016-17,Male focussed,,SK6 1DJ,Multisport,14;15;16,Stockport,Sustained - Not funded,53.41644827,-2.099990317
Woodbank Wellbeing Multisport Satellite Club (14-19),HUB CLUB IN DEVELOPMENT,,2016-17,Inclusive (disability) focussed,,SK1 4BN,Multisport,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.40661207,-2.137712617
Woodbank Inclusive Multisport Satellite Club (14-17),HUB CLUB IN DEVELOPMENT,,2016-17,Inclusive (disability) focussed,,SK1 4BN,Multisport,14;15;16;17,Stockport,Sustained - Not funded,53.40661207,-2.137712617
Woodbank Inclusive Multisport Satellite Club (18-24),HUB CLUB IN DEVELOPMENT,,2016-17,Inclusive (disability) focussed,,SK1 4BN,Multisport,18;19;20;21;22;23;24,Stockport,Sustained - Not funded,53.40661207,-2.137712617
Essa Academy,Bolton Outdoor learning and adventure,,2016-17,No specific focus,,BL3 3HH,Canoeing,14;15;16,Bolton,Sustained - Not funded,53.55557075,-2.446050354
Rumworth School,Bolton Outdoor learning and adventure,,2016-17,No specific focus,,BL3 4TP,Canoeing,14;15;16;17;18;19,Bolton,Sustained - Not funded,53.56821685,-2.47461937
Bolton School,Lostock Cricket Club,,2016-17,Male focussed,,BL1 4PA,Cricket,14;15;16;17;18;19,Bolton,Temporarily inactive,53.57961666,-2.453448328
Harper Green School,Bolton Cricket Club,,2016-17,No specific focus,,BL4 0DH,Cricket,14;15;16;17;18,Bolton,Sustained - Not funded,53.55024003,-2.410913536
Rumworth cycling,W4all,,2016-17,Inclusive (disability) focussed,,BL3 4TP,Cycling,14;15;16;17;18;19;20;21;22;23;24;25,Bolton,Sustained - Not funded,53.56821685,-2.47461937
Reddish Vale Multisport Satellite Club,Stockport County Community Foundation,,2016-17,Multisport,,SK5 7EY,Multisport,14;15;16,Stockport,Sustained - Not funded,53.43460714,-2.151336537
Radclyffe Sports Centre,Oldham and Royton Harriers,,2016-17,Inclusive (disability) focussed,,OL9 0LS,Athletics,11;12;13;14;15;16;17;18;19;20;21;22;23;24,Oldham,Sustained - Not funded,53.54508685,-2.152183122
Crompton House School,Heyside Cricket Club,,2016-17,Female focussed,,OL2 7HS,Cricket,11;12;13;14;15;16;17;18;19;20;21;22;23;24,Oldham,Sustained - Not funded,53.581389,-2.108052972
North Chadderton School,Marshall Fencing Club,,2016-17,No specific focus,,OL9 0BN,Fencing,14;15;16,Oldham,Sustained - Not funded,53.55585917,-2.149791176
Oasis Academy,North East Manchester Hawks,,2016-17,No specific focus,,OL8 4JZ,Handball,16;17;18,Oldham,Sustained - Not funded,53.52118161,-2.131446688
Oldham Academy North,HUB CLUB IN DEVELOPMENT,,2016-17,Inclusive (disability) focussed,,OL2 5BF,Multisport,13;14;15;16;17;18;19;20;21;22;23;24,Oldham,Temporarily inactive,53.56050891,-2.124306173
Failsworth Sports Centre Dance,HUB CLUB IN DEVELOPMENT,,2016-17,Female focussed,,OL9 6AA,Dance,11;12;13;14;15;16;17;18,Oldham,Sustained - Not funded,53.5423832,-2.118502982
Bury Sports Club (Lancashire Squash & Racketball Association - Squash),Lancashire Squash & Racketball Association,,2016-17,Female focussed,,BL9 0EZ,Squash,12;13;14;15;16,Bury,Temporarily inactive,53.59311171,-2.298289746
St Thomas More RC Science college,Manchester Giants,,2016-17,No specific focus,,M34 6AF,Basketball,12;13;14;15,Tameside,Sustained - Not funded,53.45082189,-2.112871693
All Saints Catholic College,Dukinfield Rugby Club,,2016-17,No specific focus,,SK16 5AR,Rugby Union,13;14;15;16,Tameside,Sustained - Not funded,53.47088112,-2.073706281
Bolton university,Bolton Hot Wheels,,2016-17,No specific focus,,BL3 5AB,Cycling,14;15;16;17;18;19;20;21;22,Bolton,Temporarily inactive,53.57327636,-2.434818652
St Josephs School,NTK Martial Arts,,2016-17,Female focussed,,BL6 6HW,Martial Arts,14;15;16;17;18,Bolton,Sustained - Not funded,53.5862552,-2.526988913
Little Lever School,North West Warriors,,2016-17,No specific focus,,BL3 1BT,Martial Arts,14;15;16;17,Bolton,Sustained - Not funded,53.56162514,-2.382456503
Firwood College,Diversity,,2016-17,Inclusive (disability) focussed,,BL2 4HU,Swimming,14;15;16;17;18;19;20;21;22;23;24;25,Bolton,Sustained - Not funded,53.59308993,-2.384674695
Canon Slade School,Bradshaw Tennis Club,,2016-17,No specific focus,,BL2 3BP,Tennis,14;15;16;17;18,Bolton,Sustained - Not funded,53.60189527,-2.407681698
Birtenshaw College,Sharples Wrestling Club,,2016-17,Inclusive (disability) focussed,,BL7 9AB,Wrestling,14;15;16;17;18;19;20;21;22;23;24,Bolton,Sustained - Not funded,53.61083568,-2.414086542
The Powerhouse (Manchester University),Flava Netball Club,,2016-17,BME focussed;Female focussed,,M14 4SL,Netball,14;15;16;17;18;19;20;21;22;23;24;25,Manchester,Sustained - Not funded,53.45734879,-2.240282777
Stockport Georgians Womens Cricket Club (Bramhall High & Stockport Grammar),Stockport Georgians Cricket Club,,2016-17,Female focussed,,SK2 7DJ,Cricket,14;15;16;17;18;19;20;21;22;23;24;25,Stockport,Sustained - Not funded,53.38701439,-2.137965143
St Edmund Arrowsmith,Community Dance Programme,,2017-18,Female focussed,,WN4 9PF,Dance,14;15;16,Wigan,Sustained - Not funded,53.48204424,-2.638517167
Factory Youth Zone,HUB CLUB IN DEVELOPMENT,,2016-17,Female focussed,,M9 8AE,Boxing,14;15;16;17;18,Manchester,Sustained - Not funded,53.51434225,-2.211752934
The Proud Trust,HUB CLUB IN DEVELOPMENT,,2016-17,No specific focus,,M1 7HB,Multisport,14;15;16;17;18;19;20;21,Manchester,Sustained - Not funded,53.47092285,-2.235839413
Hideaway Youth Project,SG Street Shakers,,2016-17,Female focussed,,M16 7DG,Multisport,14;15;16;17;18;19,Manchester,Temporarily inactive,53.45963157,-2.249333316
Junction 17 CAMHS (Streetshakers Dance & Fitness - Dance),Streetshakers Dance & Fitness,,2016-17,Inclusive (disability) focussed,Mental health,M25 3BL,Dance,14;15;16;17,Bury,Sustained - Not funded,53.5365078,-2.290029848
Hope and Horizon Unit (Streetshakers Dance & Fitness - Multisport),Streetshakers Dance & Fitness,,2016-17,Female focussed;Inclusive (disability) focussed,Mental health,BL9 7TD,Multisport,14;15;16;17;18,Bury,Sustained - Not funded,53.60018927,-2.254180232
Ladybridge School,Horwich Basketball Club,,2016-17,Multisport,,BL3 4NG,Basketball,14;15;16,Bolton,Sustained - Not funded,53.56736113,-2.472782554
St Josephs RC,Bolton Arena,,2016-17,Multisport,,BL6 6HW,Tennis,14;15;16,Bolton,Sustained - Not funded,53.5862552,-2.526988913
Newall Green,Manchester Basketball Academy,,2016-17,Female focussed,,M23 2SX,Basketball,14;15;16;17;18,Manchester,Sustained - Not funded,53.38278295,-2.2877362
Our Lady's High School,Manchester Basketball Academy,,2016-17,Female focussed,,M9 0RP,Basketball,14;15;16;17;18,Manchester,Sustained - Not funded,53.53579929,-2.217186661
Belle Vue Sports Village (St Peters),Manchester Basketball Academy,,2016-17,Female focussed,,M12 4TF,Basketball,14;15;16;17;18,Manchester,Sustained - Not funded,53.46003732,-2.189987911
Woodhouse Park Lifestyle Centre,Manchester Marvels,,2016-17,Inclusive (disability) focussed,,M22 1QW,Multisport,14;15;16;17;18;19;20;21;22;23;24;25,Manchester,Sustained - Not funded,53.37365059,-2.271905647
Hollinwood Academy,Oldham Eagles Basketball Club,,2016-17,Male focussed,,OL8 3PT,Basketball,14;15;16;17;18;19;20;21;22;23;24;25,Oldham,Sustained - Not funded,53.51293995,-2.137951525
Leigh Goodbodies Community Boxing Club,Leigh Goodbodies Community Boxing Club,,2015-16,No specific focus,,WN7 4LJ,Boxing,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.49426744,-2.518325232
Ashton and Bryn Community Box,Ashton and Bryn Community Box,,2015-16,No specific focus,,WN4 0AA,Boxing,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.50131378,-2.64599877
Flixton Girls School (Urmston Leisure Centre),Trafford Trampoline Club,,2016-17,Female focussed,,M41 5DR,Gymnastics,14;15;16;17;18,Trafford,Sustained - Not funded,53.44943132,-2.36967163
Jump Nation (Ashton on Mersey School),Ashton on Mersey School Trampoline Club,,2016-17,Inclusive (disability) focussed,,M17 1WA,Gymnastics,14;15;16;17;18,Trafford,Sustained - Funded,53.4619239,-2.32091381
Abraham Guest Academy,HUB CLUB IN DEVELOPMENT,,2016-17,No specific focus,,WN5 0DQ,Gym/Fitness,15;16;17;18,Wigan,Sustained - Not funded,53.54135802,-2.685545646
Sugden Centre (Manchester University),Manchester Maelstrom,,2016-17,No specific focus,,M1 7HL,Baseball/Softball,18;19;20;21;22;23;24,Manchester,Temporarily inactive,53.47080005,-2.234286862
Caribbean Centre (Hulme),HUB CLUB IN DEVELOPMENT,,2016-17,Multisport,,M15 5FS,Multisport,14;15;16;17;18,Manchester,Sustained - Not funded,53.464964,-2.24855107
Allerton Sports Hall (Salford University),Salford Sirens,,2016-17,Female focussed,,M5 4WT,Dance,18;19;20;21;22,Salford,Temporarily inactive,53.48323989,-2.269214888
Brooklands Hockey Club (Manchester Uni),Brooklands Hockey Club,,2016-17,Female focussed,,M33 3NL,Hockey,18;19;20;21;22;23;24;25,Trafford,Sustained - Not funded,53.41519722,-2.317086066
Brooklands Hockey Club (Manchester Uni),Brooklands Hockey Club,,2016-17,Male focussed,,M33 3NL,Hockey,18;19;20;21;22;23;24;25,Trafford,Sustained - Not funded,53.41519722,-2.317086066
Elmsbank Specialist Arts College (Streetshakers Dance & Fitness - Dance),Streetshakers Dance & Fitness,,2016-17,Inclusive (disability) focussed,Non-specific,M45 8PJ,Dance,14;15;16,Bury,Sustained - Not funded,53.55761911,-2.288317212
Leverhulme Park (Heartlift Charity),Aspull Wrestling Club,,2016-17,No specific focus,,BL2 6BZ,Wrestling,14;15;16;17;18,Bolton,Temporarily inactive,53.57427504,-2.395725823
Playfootball Monday 6-7pm,Bury FC - The Trust,,2016-17,Inclusive (disability) focussed,Mobility,BL9 0BG,Football,14;15;16;17;18;19;20;21;22,Bury,Temporarily inactive,53.58736753,-2.294653555
Wright Robinson College,Murray Machines,,2016-17,No specific focus,,M18 8RL,Boxing,14;15;16,Manchester,Sustained - Not funded,53.46625047,-2.151238148
Manchester Creative and Media Academy,Murray Machines,,2016-17,No specific focus,,M9 7FS,Boxing,14;15;16,Manchester,Sustained - Not funded,53.52605242,-2.186617224
Landgate watersports,Outdoor Adventure programme,,2017-18,Inclusive (disability) focussed,,WN3 5HJ,Canoeing,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.5295883,-2.640574905
Thornleigh Salesian College,Bolton Rugby Club,,2017-18,Female focussed,,BL1 6PQ,Rugby Union,14;15;16,Bolton,Sustained - Not funded,53.60111611,-2.44229836
Ashton on Mersey School,HUB CLUB IN DEVELOPMENT,,2016-17,No specific focus,,M33 5BP,Roller Sport,14;15;16,Trafford,Sustained - Funded,53.41919542,-2.337566708
Newman RC College,Heyside Football Club,,2016-17,Inclusive (disability) focussed,,OL9 9QY,Football,14;15;16,Oldham,Sustained - Not funded,53.53882465,-2.149474498
Oldham Green Hill Community Sports Club,HUB CLUB IN DEVELOPMENT,,2017-18,BME focussed,,OL4 5EP,Multisport,14;15;16;17;18;19;20;21;22;23;24;25,Oldham,Sustained - Not funded,53.53848313,-2.085292567
Rumworth School,Bolton Table Tennis Club,,2017-18,No specific focus,,BL3 4TP,Table Tennis,14;15;16;17;18;19,Bolton,Sustained - Not funded,53.56821685,-2.47461937
St Damian's RC Science College,Tameside Volleyball Club,,2017-18,No specific focus,,OL6 8BH,Volleyball,14;15;16,Tameside,Sustained - Not funded,53.5089594,-2.075566872
Eden Boys School,HUB CLUB IN DEVELOPMENT,,2017-18,BME focussed,,BL1 3QE,Cricket,14;15;16,Bolton,Sustained - Not funded,53.59293169,-2.433584953
Oakwood Academy,HUB CLUB IN DEVELOPMENT,,2017-18,Inclusive (disability) focussed,Non-specific,M30 9DY,Multisport,14;15;16;17,Salford,Sustained - Not funded,53.49311595,-2.334625982
Bury College,Streetshakers Dance & Fitness,,2017-18,Inclusive (disability) focussed,Mobility,BL9 0BG,Dance,16;17;18;19,Bury,Temporarily inactive,53.58736753,-2.294653555
Chorlton High School,Girls CVL,,2017-18,Female focussed,,M21 7SL,Basketball,14,Manchester,Sustained - Not funded,53.43614716,-2.263602942
Manchester College,Manchester Giants,,2017-18,BME focussed,,M12 6BA,Basketball,18,Manchester,Sustained - Not funded,53.46950421,-2.215913977
Manchester Giants 2,Manchester Giants,,2017-18,BME focussed;Female focussed,,M15 6HP,Basketball,16,Manchester,Sustained - Not funded,53.46466223,-2.237808296
Manchester Rugby Union Development,Manchester Rugby Union group,,2017-18,Female focussed,,M23 9BP,Rugby Union,14,Manchester,Sustained - Not funded,53.40185957,-2.294874622
Our Ladys VI Football,CITC Foundation,,2017-18,Inclusive (disability) focussed,,M9 0RP,Football,14,Manchester,Sustained - Funded,53.53579929,-2.217186661
Manchester Creative and Media Academy,NONE,,2017-18,Female focussed,,M9 7SS,Basketball,14;15;16,Manchester,Sustained - Funded,53.52662863,-2.180177823
Heaton Norris Pavilion - Multisports / Fitness Club,HUB CLUB IN DEVELOPMENT,,2017-18,Female focussed,,SK1 1JA,Multisport,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.41005193,-2.154965533
Werneth School - Fit Club,Life Leisure,,2017-18,Female focussed,,SK6 3BX,Gym/Fitness,14;15;16,Stockport,Sustained - Not funded,53.41248861,-2.104931183
Stockport School - Fit Club,Life Leisure,,2017-18,Female focussed,,SK2 6BW,Gym/Fitness,14;15;16,Stockport,Sustained - Not funded,53.3911051,-2.137602407
Heaton School - Multisports / Fit club,Hub Club in Development,,2017-18,Female focussed;Inclusive (disability) focussed,,SK4 4RE,Gym/Fitness,14;15;16,Stockport,Sustained - Not funded,53.42607202,-2.186013521
Brinnington Football Club,Hub Club in Development,,2017-18,Male focussed,,SK5 8EY,Football,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.4287708,-2.130243267
st cuthberts High School,Hamer Amateur Boxing Club,,2017-18,BME focussed,,OL11 3LU,Boxing,16;17;18,Rochdale,Sustained - Not funded,53.60097818,-2.187083318
Bury Athletics Track,Wheels 4 All,,2017-18,Inclusive (disability) focussed,Mobility,BL9 0AJ,Cycling,16;17;18;19;20;21,Bury,Sustained - Not funded,53.59255091,-2.296064626
Pheonix Centre,Streetshakers Dance & Fitness,,2017-18,Female focussed;Inclusive (disability) focussed,Mental health,M25 1GG,Dance,15;16;17;18,Bury,Temporarily inactive,53.52820653,-2.276545626
Marple Hall School Trampolining Club,Stockport Trampolining Club,,2017-18,Female focussed,,SK6 6LB,Other,14;15;16,Stockport,Sustained - Not funded,53.39750829,-2.087086054
St James Catholic High School - Back2Netball,Didsbury Netball Club,,2017-18,Female focussed,,SK8 6PZ,Netball,14;15;16,Stockport,Sustained - Not funded,53.3595852,-2.196889253
KIDS - Woodbank Youth Centre Multisport,Hub Club in Development,,2017-18,Inclusive (disability) focussed,,SK1 4BN,Multisport,14;15;16;17;18;19,Stockport,Sustained - Not funded,53.40661207,-2.137712617
Matthew Moss High School,Hamer Amateur Boxing Club,,2017-18,BME focussed,,OL11 3LU,Boxing,15;16;17;18,Rochdale,Sustained - Not funded,53.60097818,-2.187083318
failinge Park High School,Hamer Amateur Boxing Club,,2017-18,BME focussed,,OL12 6LD,Boxing,14;15;16;17,Rochdale,Sustained - Not funded,53.62553021,-2.167352157
Astley & Tyldesley CC,Astley & Tyldesley Cycling Club,,2017-18,No specific focus,,M29 7DW,Cycling,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.50509402,-2.469706929
Astley Sports Village,HUB CLUB IN DEVELOPMENT,,2017-18,Female focussed,,SK16 5BL,Gymnastics,14;15;16;17,Tameside,Sustained - Funded,53.46914852,-2.069755965
Bolton Impact Trust - Youth Challenge,HUB CLUB IN DEVELOPMENT,,2017-18,No specific focus,,BL1 6JT,Gym/Fitness,14;15;16,Bolton,Sustained - Not funded,53.59965256,-2.453844221
Infinity Dance,Infinity Dance,,2017-18,Female focussed,,OL4 2AG,Dance,13;14;15;16;17;18;19;20,Oldham,Sustained - Not funded,53.54480797,-2.09033123
Failsworth LGBT Group,Failsworth School,,2017-18,Multisport,,M35 9HA,Multisport,14;15;16,Oldham,Sustained - Not funded,53.5074302,-2.144885361
Squared Circle Wresing,Squared Circle Academy,,2017-18,Multisport,,OL2 8DW,Wrestling,14;15;16;17;18;19,Oldham,Sustained - Not funded,53.58700106,-2.081990929
wrsc - Manchester Rangers RLFC,Manchester Rangers RLFC Open age rugby,,2018-19,Multisport,,M18 8RL,Rugby League,16;17;18,Manchester,Temporarily inactive,53.46625047,-2.151238148
Swythamley Park - Multisports,HUB CLUB IN DEVELOPMENT,,2018-19,Multisport,,SK3 0NF,Multisport,14;15;16;17;18;19,Stockport,Temporarily inactive,53.40316744,-2.19111841
Football St cuthberts,Rochdale AFC,,2017-18,No specific focus,,OL16 4RX,Football,13;14;15;16;17;18;19,Rochdale,Sustained - Not funded,53.59004223,-2.137719019
Rochdale multi sports,#thrive,,2017-18,Multisport,,OL16 2HZ,Multisport,12;13;14;15;16;17,Rochdale,Sustained - Not funded,53.61816655,-2.147970576
Parrswood High School,Trafford Handball Club,,2018-19,No specific focus,,M20 5PG,Handball,14;15;16,Manchester,Sustained - Not funded,53.40840716,-2.218071799
Stretford High School,Trafford Handball Club,,2018-19,No specific focus,,M32 0XA,Handball,14;15;16,Trafford,Sustained - Not funded,53.45695425,-2.292273928
Fairfield High Volleyfit,Tameside Volleyball Club,,2018-19,Female focussed,,M43 6AB,Gym/Fitness,14;15;16,Tameside,Sustained - Not funded,53.47486415,-2.149867437
WAFC BME,Wigan Athletic Community Trust,,2018-19,BME focussed,,WN7 3JD,Multisport,14;15;16,Wigan,Sustained - Not funded,53.4876672,-2.522887192
Broughton Park RFU,Broughton Park RFC,,2018-19,Female focussed,,M21 7TL,Rugby Union,14;15;16;17,Manchester,Sustained - Not funded,53.43607727,-2.254374146
Wythenshawe Park RFU,Wythenshawe RFU,,2018-19,Female focussed,,M22 4JF,Rugby Union,14;15;16;17,Manchester,Sustained - Not funded,53.40361119,-2.256527159
